"codigo","municipio","quantidade","ano"
150010,Abaetetuba,160,2017
150013,Abel Figueiredo,7,2017
150020,Acará,2,2017
150030,Afuá,1,2017
150034,Água Azul do Norte,175,2017
150040,Alenquer,42,2017
150050,Almeirim,6,2017
150060,Altamira,49,2017
150070,Anajás,1,2017
150080,Ananindeua,69,2017
150085,Anapu,581,2017
150090,Augusto Corrêa,4,2017
150095,Aurora do Pará,6,2017
150100,Aveiro,0,2017
150110,Bagre,0,2017
150120,Baião,1,2017
150125,Bannach,12,2017
150130,Barcarena,35,2017
150140,Belém,294,2017
150145,Belterra,9,2017
150150,Benevides,2,2017
150157,Bom Jesus do Tocantins,1,2017
150160,Bonito,3,2017
150170,Bragança,32,2017
150172,Brasil Novo,5,2017
150175,Brejo Grande do Araguaia,4,2017
150178,Breu Branco,342,2017
150180,Breves,0,2017
150195,Cachoeira do Piriá,23,2017
150210,Cametá,19,2017
150215,Canaã dos Carajás,26,2017
150220,Capanema,19,2017
150230,Capitão Poço,145,2017
150240,Castanhal,53,2017
150260,Colares,3,2017
150270,Conceição do Araguaia,138,2017
150275,Concórdia do Pará,0,2017
150276,Cumaru do Norte,13,2017
150277,Curionópolis,2,2017
150285,Curuá,1,2017
150290,Curuçá,5,2017
150293,Dom Eliseu,3,2017
150295,Eldorado do Carajás,1,2017
150304,Floresta do Araguaia,5,2017
150307,Garrafão do Norte,3,2017
150309,Goianésia do Pará,140,2017
150310,Gurupá,3,2017
150320,Igarapé-Açu,1,2017
150330,Igarapé-Miri,1,2017
150340,Inhangapi,5,2017
150345,Ipixuna do Pará,6,2017
150350,Irituia,5,2017
150360,Itaituba,42,2017
150370,Itupiranga,11,2017
150375,Jacareacanga,1,2017
150380,Jacundá,96,2017
150390,Juruti,18,2017
150400,Limoeiro do Ajuru,30,2017
150405,Mãe do Rio,0,2017
150410,Magalhães Barata,0,2017
150420,Marabá,452,2017
150430,Maracanã,26,2017
150440,Marapanim,2,2017
150442,Marituba,97,2017
150445,Medicilândia,44,2017
150460,Mocajuba,2,2017
150470,Moju,1,2017
150475,Mojuí dos Campos,13,2017
150480,Monte Alegre,4,2017
150490,Muaná,0,2017
150495,Nova Esperança do Piriá,66,2017
150497,Nova Ipixuna,6,2017
150500,Nova Timboteua,6,2017
150503,Novo Progresso,64,2017
150506,Novo Repartimento,144,2017
150510,Óbidos,3,2017
150520,Oeiras do Pará,1,2017
150530,Oriximiná,34,2017
150540,Ourém,1,2017
150543,Ourilândia do Norte,66,2017
150548,Pacajá,280,2017
150549,Palestina do Pará,68,2017
150550,Paragominas,43,2017
150553,Parauapebas,1104,2017
150555,Pau D'Arco,43,2017
150560,Peixe-Boi,0,2017
150563,Piçarra,0,2017
150565,Placas,1,2017
150570,Ponta de Pedras,0,2017
150580,Portel,0,2017
150590,Porto de Moz,0,2017
150600,Prainha,1,2017
150610,Primavera,6,2017
150611,Quatipuru,6,2017
150613,Redenção,125,2017
150616,Rio Maria,39,2017
150618,Rondon do Pará,76,2017
150619,Rurópolis,26,2017
150620,Salinópolis,1,2017
150630,Salvaterra,3,2017
150635,Santa Bárbara do Pará,0,2017
150650,Santa Izabel do Pará,2,2017
150655,Santa Luzia do Pará,12,2017
150658,Santa Maria das Barreiras,92,2017
150660,Santa Maria do Pará,3,2017
150670,Santana do Araguaia,20,2017
150680,Santarém,12,2017
150690,Santarém Novo,9,2017
150700,Santo Antônio do Tauá,5,2017
150710,São Caetano de Odivelas,5,2017
150715,São Domingos do Araguaia,5,2017
150720,São Domingos do Capim,2,2017
150730,São Félix do Xingu,47,2017
150740,São Francisco do Pará,20,2017
150745,São Geraldo do Araguaia,216,2017
150746,São João da Ponta,1,2017
150747,São João de Pirabas,31,2017
150750,São João do Araguaia,96,2017
150760,São Miguel do Guamá,0,2017
150770,São Sebastião da Boa Vista,2,2017
150775,Sapucaia,1,2017
150780,Senador José Porfírio,7,2017
150790,Soure,97,2017
150795,Tailândia,7,2017
150796,Terra Alta,1,2017
150797,Terra Santa,0,2017
150800,Tomé-Açu,4,2017
150803,Tracuateua,1,2017
150805,Trairão,0,2017
150808,Tucumã,9,2017
150810,Tucuruí,423,2017
150812,Ulianópolis,1,2017
150815,Uruará,0,2017
150820,Vigia,178,2017
150830,Viseu,1,2017
150835,Vitória do Xingu,23,2017
150840,Xinguara,861,2017
